course,pace,understand,proofs
MATH2831,4,3,3
MATH2831,4,2,3
MATH2931,4,4,3
MATH2931,3,2,1
MATH2931,3,2,3
MATH2831,3,3,2
MATH2931,3,4,2
MATH2831,3,3,3
MATH2931,3,3,4
MATH2931,3,3,3
MATH2931,3,5,3
MATH2831,4,4,2
MATH2931,3,3,2
MATH2931,4,4,3
MATH2931,2,5,3
MATH2931,4,2,3
MATH2931,1,5,1
MATH2831,3,4,5
MATH2831,3,3,2
MATH2931,3,4,2
MATH2831,3,5,4
MATH2831,3,4,4
MATH2831,3,3,3
MATH2931,4,3,2
MATH2831,4,4,2
MATH2931,3,2,3
MATH2931,4,3,3
MATH2831,4,3,3
MATH2931,4,2,3
MATH2931,4,4,3
MATH2931,3,4,3
MATH2931,2,4,4
MATH2831,3,2,2
MATH2931,4,3,3
MATH2831,4,2,2
MATH2831,4,2,1
MATH2931,5,3,3
MATH2931,4,3,2
MATH2831,3,3,3
MATH2831,3,3,3
MATH2931,2,3,3
MATH2931,5,2,3
MATH2931,3,4,2
MATH2931,5,3,3
MATH2931,4,4,3
